COUNTRY;AREA;START_YEAR ;END_YEAR ;SPECIES;SEX;VB_LINF;VB_K;VB_T0;VB_SAMPLE_SIZE ;VB_SIZE_RANGE;VB_UNITS;VB_METHOD_USED;A;B;L_W_SAMPLE_SIZE;L_W_SIZE_RANGE ;L_W_UNITS;L_W_METHOD_USED;SPAWNING_SEASON;SPAWNING_PEAK;COMMENTS
ITA;SA 18;2014;2014;MUT;F;30;0.244;-0.61;5331;4-25 cm;cm;otoliths. Non linear least square;0.0088;3.0818;3478;5-199 g;cm;L-W regression analysis on DCF data;May-September;June-July;VBF parameters have been revised in 2017.
ITA;SA 18;2014;2014;MUT;M;26;0.264;-0.73;3013;4-20 cm;cm;otoliths. Non linear least square;0.0086;3.0849;3426;5-87 g;cm;L-W regression analysis on DCF data;May-September;June-July;VBF parameters have been revised in 2017.
ITA;SA 18;2014;2014;MUT;C;30;0.244;-0.61;5331;4-25 cm;cm;otoliths. Non linear least square;0.0084;3.0958;7439;1-199 g;cm;L-W regression analysis on DCF data;May-September;June-July;VBF parameters have been revised in 2017.
ITA;SA 18;2015;2015;MUT;F;30;0.244;-0.61;5331;4-25 cm;cm;otoliths. Non linear least square;0.009;3.088;5466;5.9-198.14g;cm;L-W regression analysis on DCF data;May-September;June-July;VBF parameters have been revised in 2017.
ITA;SA 18;2015;2015;MUT;M;26;0.264;-0.73;3013;4-20 cm;cm;otoliths. Non linear least square;0.009;3.064;5688;5.58-78.5g;cm;L-W regression analysis on DCF data;May-September;June-July;VBF parameters have been revised in 2017.
ITA;SA 18;2015;2015;MUT;C;30;0.244;-0.61;5331;4-25 cm;cm;otoliths. Non linear least square;0.0088;3.085;12596;0.5-198.14g;cm;L-W regression analysis on DCF data;May-September;June-July;VBF parameters have been revised in 2017.
ITA;SA 18;2016;2016;MUT;F;30;0.244;-0.61;5331;4-25 cm;cm;otoliths. Non linear least square;0.0113;3.0004;4475;6.28-222.9 g;cm;L-W regression analysis on DCF data;May-September;June-July;VBF parameters have been revised in 2017. This set of parameters has been used to derive the age distribution of landings.
ITA;SA 18;2016;2016;MUT;M;26;0.264;-0.73;3013;4-20 cm;cm;otoliths. Non linear least square;0.0101;3.0183;4105;5.9-103.6 g;cm;L-W regression analysis on DCF data;May-September;June-July;VBF parameters have been revised in 2017. This set of parameters has been used to derive the age distribution of landings.
ITA;SA 18;2016;2016;MUT;C;30;0.244;-0.61;5331;4-25 cm;cm;otoliths. Non linear least square;0.0092;3.0683;9313;1.5-222.9 g;cm;L-W regression analysis on DCF data;May-September;June-July;VBF parameters have been revised in 2017. This set of parameters has been used to derive the age distribution of discards.
ITA;SA 18;2017;2017;MUT;C;30;0.244;-0.61;5331;4-25 cm;cm;otoliths. Non linear least square;0.0088;3.0924;4720;5.8-157 g;cm;L-W regression analysis on DCF data;May-September;June-July;VBF parameters have been revised in 2017. This set of parameters has been used to derive the age distribution of discards.
ITA;SA 18;2017;2017;MUT;F;30;0.244;-0.61;5331;4-25 cm;cm;otoliths. Non linear least square;0.0107;3.0272;2887;6.4-157 g;cm;L-W regression analysis on DCF data;May-September;June-July;VBF parameters have been revised in 2017. This set of parameters has been used to derive the age distribution of landings.
ITA;SA 18;2017;2017;MUT;M;26;0.264;-0.73;3013;4-20 cm;cm;otoliths. Non linear least square;0.0107;3.0024;1833;5.8-79.7 g;cm;L-W regression analysis on DCF data;May-September;June-July;VBF parameters have been revised in 2017. This set of parameters has been used to derive the age distribution of landings.
