"year","landings","discards","total"
2003,322.549198,0,322.549198
2004,375.2385,0,375.2385
2005,430.9434,0,430.9434
2006,462.40605,0,462.40605
2007,217.43098,0,217.43098
2008,254.00044,0,254.00044
2009,303.14069,38.35542,341.49611
2010,473.29438,27.100131,500.394511
2011,551.03147,63.262841,614.294311
2012,621.24934,7.568045,628.817385
2013,575.66107,30.040906,605.701976
2014,561.46492,44.978926,606.443846
2015,791.44936,89.320018,880.769378
2016,835.61,34.938732,870.548732
2017,856.83338,41.466594,898.299974
