Reference year;GSA;Fleet.segment
2020;9;L-02
2020;9;P-07
2020;9;P-22
2020;9;S-02
2020;9;S-09
2020;9;T-25
2020;10;L-02
2020;10;L-03
2020;10;P-05
2020;10;P-06
2020;10;P-07
2020;10;S-02
2020;10;S-08
2020;10;S-09
2020;10;T-11
2020;11.2;P-05
2020;11.2;P-06
2020;11.2;P-07
2020;11.2;S-03
2020;11.2;T-10
2020;11.2;T-11
2020;11.2;T-12
2020;16;L-02
2020;16;L-03
2020;16;P-05
2020;16;P-06
2020;16;P-07
2020;16;S-02
2020;16;S-03
2020;16;T-07
2020;16;T-10
2020;16;T-11
2020;16;T-12
2020;17;D-03
2020;17;P-05
2020;17;P-21
2020;17;S-03
2020;17;S-04
2020;17;T-17
2020;17;T-22
2020;17;T-25
2020;18;D-03
2020;18;L-01
2020;18;L-05
2020;18;P-05
2020;18;P-06
2020;18;P-07
2020;18;S-04
2020;18;T-07
2020;18;T-08
2020;18;T-10
2020;18;T-11
2020;18;T-12
2020;19;L-05
2020;19;P-05
2020;19;P-06
2020;19;P-07
2020;19;S-02
2020;19;S-09
2020;19;T-11
