Species;Scientific name;CATFAU;CATFAU_REV
ANE;Engraulis encrasicolus;Bony fish;G.1
ARA;Aristeus antennatus;Crustaceans;G.3
ARS;Aristaeomorpha foliacea;Crustaceans;G.3
CTC;Sepia officinalis;Cephalopods;G.2
DOL;Coryphaena hippurus;Bony fish;G.1
DPS;Parapenaeus longirostris;Crustaceans;G.3
HKE;Merluccius merluccius;Bony fish;G.1
LFZ;Lagocephalus sceleratus;Bony fish;G.1
MTS;Squilla mantis;Stomatopods;G.5
MUT;Mullus barbatus;Bony fish;G.1
NEP;Nephrops norvegicus;Crustaceans;G.3
PIL;Sardina pilchardus;Bony fish;G.1
SAA;Sardinella aurita;Bony fish;G.1
SBR;Pagellus bogaraveo;Bony fish;G.1
SOL;Solea vulgaris;Bony fish;G.1
UHQ;Pterois miles;Bony fish;G.1
