Reference_Year;CPC;GSA;Source;SurveyName;Segment;Species;LengthUnit;Length;NumberIndividualsMeasured;WeightIndividualsSampled;NumberIndividualsExpanded;Comments
2017;ITA;18;SU;MEDITS;T-12;BOG;cm;8.5;15;0.01;15;
2017;ITA;18;SU;MEDITS;T-12;BOG;cm;9;20;0.01;22;
2017;ITA;18;SU;MEDITS;T-12;BOG;cm;9.5;58;0.01;70;
2017;ITA;18;SU;MEDITS;T-12;BOG;cm;10;112;0.01;131;
2017;ITA;18;SU;MEDITS;T-12;BOG;cm;10.5;111;0.01;133;
2017;ITA;18;SU;MEDITS;T-12;BOG;cm;11;101;0.01;146;
2017;ITA;18;SU;MEDITS;T-12;BOG;cm;11.5;195;0.01;278;
2017;ITA;18;SU;MEDITS;T-12;BOG;cm;12;310;0.02;470;
2017;ITA;18;SU;MEDITS;T-12;BOG;cm;12.5;477;0.02;719;
2017;ITA;18;SU;MEDITS;T-12;BOG;cm;13;430;0.02;655;
2017;ITA;18;SU;MEDITS;T-12;BOG;cm;13.5;380;0.02;589;
2017;ITA;18;SU;MEDITS;T-12;BOG;cm;14;265;0.03;366;
2017;ITA;18;SU;MEDITS;T-12;BOG;cm;14.5;226;0.03;321;
2017;ITA;18;SU;MEDITS;T-12;BOG;cm;15;164;0.03;223;
2017;ITA;18;SU;MEDITS;T-12;BOG;cm;15.5;141;0.03;197;
2017;ITA;18;SU;MEDITS;T-12;BOG;cm;16;97;0.04;128;
2017;ITA;18;SU;MEDITS;T-12;BOG;cm;16.5;51;0.04;66;
2017;ITA;18;SU;MEDITS;T-12;BOG;cm;17;25;0.05;29;
2017;ITA;18;SU;MEDITS;T-12;BOG;cm;17.5;10;0.05;16;
2017;ITA;18;SU;MEDITS;T-12;BOG;cm;18;5;0.05;6;
