maturity;F;M;U;ND
G.1 - Bony fish / 0;-;-;Yes;Yes
G.1 - Bony fish / 1;Yes;Yes;-;-
G.1 - Bony fish / 2a;Yes;Yes;-;-
G.1 - Bony fish / 2b;Yes;Yes;-;-
G.1 - Bony fish / 2c;Yes;Yes;-;-
G.1 - Bony fish / 3;Yes;Yes;-;-
G.1 - Bony fish / 4a;Yes;Yes;-;-
G.1 - Bony fish / 4b;Yes;Yes;-;-
G.2 - Cephalopods / 0;-;-;Yes;Yes
G.2 - Cephalopods / 1;Yes;Yes;-;-
G.2 - Cephalopods / 2a;Yes;Yes;-;-
G.2 - Cephalopods / 2b;Yes;Yes;-;-
G.2 - Cephalopods / 3a;Yes;Yes;-;-
G.2 - Cephalopods / 3b;Yes;Yes;-;-
G.3 - Crustaceans / 1;-;-;Yes;Yes
G.3 - Crustaceans / 2;-;-;Yes;Yes
G.3 - Crustaceans / 3;-;-;Yes;Yes
G.3 - Crustaceans / 4;-;-;Yes;Yes
G.3 - Crustaceans / 5;-;-;Yes;Yes
G.4 - Elasmobranchs oviparous / 1;Yes;Yes;-;-
G.4 - Elasmobranchs oviparous / 2;Yes;Yes;-;-
G.4 - Elasmobranchs oviparous / 3a;Yes;Yes;-;-
G.4 - Elasmobranchs oviparous / 3b;Yes;Yes;-;-
G.4 - Elasmobranchs oviparous / 4a;Yes;Yes;-;-
G.4 - Elasmobranchs oviparous / 4b;Yes;-;-;-
G.4 - Elasmobranchs viviparous / 1;Yes;Yes;-;-
G.4 - Elasmobranchs viviparous / 2;Yes;Yes;-;-
G.4 - Elasmobranchs viviparous / 3;Yes;-;-;-
G.4 - Elasmobranchs viviparous / 3a;-;Yes;-;-
G.4 - Elasmobranchs viviparous / 3b;-;Yes;-;-
G.4 - Elasmobranchs viviparous / 4;-;Yes;-;-
G.4 - Elasmobranchs viviparous / 4a;Yes;-;-;-
G.4 - Elasmobranchs viviparous / 4b;Yes;-;-;-
G.4 - Elasmobranchs viviparous / 4c;Yes;-;-;-
G.4 - Elasmobranchs viviparous / 5;Yes;-;-;-
G.4 - Elasmobranchs viviparous / 6;Yes;-;-;-
G.5 – Stomatopods / 0;-;-;Yes;Yes
G.5 – Stomatopods / 1;-;-;Yes;Yes
G.5 – Stomatopods / 2;-;-;Yes;Yes
G.5 – Stomatopods / 3;-;-;Yes;Yes
G.5 – Stomatopods / 4;-;-;Yes;Yes
G.5 – Stomatopods / 5;-;-;Yes;Yes
